Date (YYYY-MM-DD), Quantity, Item Name, Description, Mandatory, Supplier, Link, Price ($USD)

2018-02-27, 1, Raspberry Pi3, Model B - ARM, x, Alibaba, https://goo.gl/vYAXGj, 34
2018-02-27, 1, Raspberry Case, n/a,  x, Alibaba, https://goo.gl/UqWY39, 1.5
2018-02-27, 1, 32Gb Micro SD Card, n/a , x, Alibaba, https://goo.gl/WNQQNN, 7.5
2018-02-27, 1, 2.5A Power Supply, n/a , x, Alibaba, https://goo.gl/uCc1x6, 3
2018-02-27, 2, USB Dust Covers, n/a , x, Alibaba, https://goo.gl/vJNvAY, 1
2018-02-27, 1, HDMI Dust Cover,n/a  , x, Alibaba, https://goo.gl/h8aLy5, 0.5
2018-02-27, 2, 16GB USD Flash, n/a , x, Alibaba, https://goo.gl/8ygYKt, 4
2018-02-27, 1, 1M Network Cable, n/a , x, Alibaba, https://goo.gl/hKA4kK, 3
2018-02-27, 1, Headphone Jack Dust Cover, n/a , x, Alibaba, https://goo.gl/Fo3tUE, 1





